ensembl_gene_id,hgnc_symbol,cells_mock_1,cells_mock_2,cells_mock_3,ELF1_mock_1,ELF1_mock_2,ELF1_mock_3,empty_IFN48_1,empty_IFN48_2,empty_IFN48_3,empty_IFN6_1,empty_IFN6_2,empty_IFN6_3,empty_mock_1,empty_mock_2,empty_mock_3,R8A_mock_2,R8A_mock_3
ENSG00000227232,NA,8,19,17,22,6,17,26,12,42,19,7,23,8,13,21,28,18
ENSG00000225630,NA,1112,1020,3509,1717,876,1670,1397,1003,1628,1274,1982,3206,668,1163,3842,1412,4145
ENSG00000237973,NA,174,224,592,764,157,344,204,138,174,220,333,430,102,332,473,295,412
ENSG00000229344,NA,16,16,61,23,27,46,20,21,18,27,56,60,13,37,53,26,39
ENSG00000248527,NA,6439,6304,13870,11930,5012,11235,5151,2635,3191,8803,8291,11476,3808,10004,12138,9108,9912
ENSG00000198744,NA,22,41,49,36,24,59,21,20,15,48,33,49,23,52,38,55,24
ENSG00000228794,LINC01128,142,124,223,145,60,164,142,83,185,76,53,87,65,127,154,205,144
ENSG00000223764,LINC02593,54,48,147,147,25,66,72,38,65,64,30,58,34,66,98,52,45
ENSG00000187634,SAMD11,115,64,147,354,49,110,338,102,177,252,64,77,101,81,132,95,55
ENSG00000188976,NOC2L,999,1038,1684,1267,454,1139,1378,933,1433,1267,856,1311,570,1231,1485,1879,992
ENSG00000187961,KLHL17,96,108,273,96,30,85,188,102,190,121,77,159,70,114,198,155,110
ENSG00000187583,PLEKHN1,20,42,42,30,15,50,66,49,105,64,42,105,9,22,31,42,21
ENSG00000272512,NA,4,3,8,15,4,9,115,56,77,144,96,163,4,12,5,15,4
ENSG00000188290,HES4,37,41,59,140,62,148,691,282,669,742,483,604,20,74,51,90,45
ENSG00000187608,ISG15,81,166,400,119,55,160,22049,11433,23810,19994,12063,23836,37,131,210,395,488
ENSG00000188157,AGRN,4065,4934,9246,8075,2843,8102,18636,10555,19182,11106,5130,13186,2698,6580,8935,10364,5558
ENSG00000217801,LOC100288175,32,79,90,64,35,26,124,63,239,65,90,111,19,90,81,174,96
ENSG00000131591,C1orf159,103,124,272,138,47,171,281,135,269,190,134,282,74,130,172,260,116
ENSG00000078808,SDF4,2242,2586,4120,3487,1276,3506,3608,2170,3371,3142,1947,3078,1385,2919,3317,4155,1924
ENSG00000176022,B3GALT6,364,345,625,458,180,425,511,280,614,298,280,341,174,385,555,596,381
ENSG00000160087,UBE2J2,472,494,874,595,247,634,672,385,783,539,444,652,254,545,758,777,539
ENSG00000162572,SCNN1D,24,35,86,17,6,17,73,35,49,27,28,44,20,36,65,58,41
ENSG00000131584,ACAP3,344,433,813,622,252,644,566,387,592,381,216,440,248,557,684,735,370
ENSG00000169972,PUSL1,88,135,173,165,79,162,99,71,128,65,51,99,42,134,149,176,71
ENSG00000127054,INTS11,644,626,1297,932,332,968,998,598,1141,854,567,917,371,836,1073,1182,676
ENSG00000224051,CPTP,199,303,503,438,158,466,353,198,446,229,191,292,132,305,364,435,251
ENSG00000169962,TAS1R3,2,8,12,24,6,21,16,14,31,9,11,19,12,9,22,15,14
ENSG00000107404,DVL1,428,602,1160,714,360,876,1017,516,1193,516,349,704,236,684,833,1105,602
ENSG00000175756,AURKAIP1,757,868,1374,1155,376,1056,917,589,1102,990,690,928,492,915,999,1287,648
ENSG00000221978,CCNL2,1290,1410,3399,2090,709,2214,2012,1122,2029,1561,1135,2167,726,1570,2766,1971,1824
ENSG00000224870,MRPL20-AS1,227,257,490,347,142,354,338,235,370,243,174,263,176,340,438,448,247
ENSG00000242485,MRPL20,1185,1107,1534,1416,551,1249,1041,694,1081,1206,1087,1094,616,1035,1337,1435,916
ENSG00000272455,NA,21,23,47,56,15,34,35,15,14,29,14,19,11,29,45,46,29
ENSG00000179403,VWA1,440,501,1055,310,168,483,355,265,410,657,414,623,214,477,676,721,332
ENSG00000197785,ATAD3A,190,235,349,256,122,266,353,241,399,210,168,278,114,311,363,412,188
ENSG00000160075,SSU72,1381,1369,2375,1734,690,1451,1870,1215,2334,1431,1281,1387,697,1404,1789,1896,1383
ENSG00000228594,FNDC10,43,64,124,37,13,53,67,48,114,44,31,36,14,56,85,93,64
ENSG00000272106,NA,20,12,30,15,5,13,17,12,21,13,8,12,6,9,22,29,25
ENSG00000197530,MIB2,195,235,474,209,82,217,387,247,416,303,149,309,115,292,379,373,203
ENSG00000248333,CDK11B,308,337,496,417,137,350,585,383,549,448,234,358,207,399,451,464,269
ENSG00000189339,SLC35E2B,692,640,1357,740,238,762,769,432,911,468,224,520,296,577,1093,936,689
ENSG00000008128,CDK11A,15,14,31,27,5,21,30,19,26,21,14,23,7,26,28,31,18
ENSG00000268575,NA,24,25,58,32,11,17,48,24,35,15,15,33,19,23,45,37,31
ENSG00000215790,SLC35E2A,43,29,70,47,11,51,53,24,49,32,9,39,16,54,64,52,30
ENSG00000008130,NADK,765,855,1534,1195,386,1085,1491,1061,1860,1429,916,1646,432,982,1262,1494,842
ENSG00000078369,GNB1,5918,5998,9956,7632,2883,7069,7499,4820,9519,6924,5135,7567,2809,6170,9065,8928,7086
ENSG00000067606,PRKCZ,313,328,520,347,124,294,381,219,383,288,168,239,157,370,417,453,240
ENSG00000162585,FAAP20,233,326,514,246,81,292,343,183,379,275,192,312,132,334,395,414,251
ENSG00000157933,SKI,542,589,980,770,322,765,860,578,1003,378,227,464,278,615,825,931,626
ENSG00000116151,MORN1,76,90,123,73,26,77,117,79,94,81,26,90,59,99,116,128,73
ENSG00000269896,LOC100129534,15,14,16,21,12,11,42,27,31,13,11,17,19,32,25,43,16
ENSG00000157916,RER1,1884,1884,3633,2451,863,2226,2357,1425,2716,2161,1777,2405,936,1986,3022,2931,2167
ENSG00000157911,PEX10,286,362,547,310,91,237,432,248,480,394,344,400,157,391,502,536,346
ENSG00000157881,PANK4,229,248,459,237,117,243,366,208,477,237,123,263,122,288,336,374,250
ENSG00000157873,TNFRSF14,2,4,7,8,6,1,62,59,82,24,23,35,0,0,3,13,1
ENSG00000157870,PRXL2B,491,558,887,462,183,463,437,323,463,381,303,401,239,601,708,902,500
ENSG00000142611,PRDM16,6,15,29,4,5,1,126,105,138,33,18,75,7,5,6,13,11
ENSG00000130762,ARHGEF16,122,121,260,371,118,415,127,100,194,95,42,102,44,129,154,173,99
ENSG00000162591,MEGF6,127,310,489,404,165,459,799,652,1273,143,137,318,62,369,360,697,303
ENSG00000158109,TPRG1L,726,742,1213,815,274,746,673,471,848,645,463,684,401,778,1086,1209,863
ENSG00000116213,WRAP73,311,295,559,402,176,365,471,241,493,341,223,388,157,325,496,479,276
ENSG00000227372,TP73-AS1,290,234,584,263,91,282,464,318,559,268,205,325,155,330,448,380,281
ENSG00000130764,LRRC47,568,576,1101,869,288,777,1064,632,1222,679,475,701,362,723,966,971,612
ENSG00000116198,CEP104,611,583,953,856,301,718,958,637,1005,670,379,689,317,656,940,1013,742
ENSG00000169598,DFFB,107,82,167,141,56,124,94,39,111,57,36,69,43,106,127,130,79
ENSG00000198912,C1orf174,224,229,397,250,91,204,365,221,398,221,214,242,136,235,326,382,270
ENSG00000131697,NPHP4,160,180,356,211,85,231,265,142,186,169,77,147,125,218,313,318,170
ENSG00000069424,KCNAB2,636,647,947,1128,303,931,563,320,573,451,205,391,293,643,746,905,554
ENSG00000116254,CHD5,8,8,47,4,4,19,36,26,42,10,8,21,2,20,30,28,16
ENSG00000116251,RPL22,4773,4344,6047,7082,2687,5210,3521,2471,3713,4298,4272,4059,2545,4337,5697,5505,3805
ENSG00000158286,RNF207,226,230,479,243,125,268,450,281,500,217,130,322,132,330,415,435,292
ENSG00000116237,ICMT,2390,2218,3807,3118,1078,2668,2246,1475,2340,2906,1914,2706,1382,2777,3729,3699,2604
ENSG00000225077,NA,7,13,14,19,3,12,33,16,30,14,12,10,8,24,17,19,19
ENSG00000158292,GPR153,49,35,99,34,17,28,62,49,74,74,28,55,22,30,37,74,45
ENSG00000097021,ACOT7,755,774,1454,928,327,1037,1184,709,1324,1406,1145,1594,376,794,1078,1205,738
ENSG00000069812,HES2,45,48,98,23,12,47,26,15,32,34,16,32,17,29,23,28,22
ENSG00000215788,TNFRSF25,29,30,94,20,12,42,30,26,28,20,11,32,12,23,49,29,25
ENSG00000171680,PLEKHG5,86,96,303,85,57,180,110,75,129,86,46,119,47,87,155,109,80
ENSG00000162408,NOL9,207,182,328,204,86,177,302,146,218,204,140,205,83,205,343,317,208
ENSG00000204859,ZBTB48,112,163,276,217,81,185,238,178,293,140,95,184,83,171,238,274,162
ENSG00000162413,KLHL21,522,662,832,1128,320,700,1321,904,1690,457,370,485,264,690,777,1164,587
ENSG00000116273,PHF13,338,259,514,346,147,352,505,313,615,276,189,270,158,292,469,428,325
ENSG00000041988,THAP3,173,201,300,185,82,179,266,154,347,323,257,280,104,239,248,323,181
ENSG00000007923,DNAJC11,1021,995,1604,1162,446,1041,1301,874,1452,1156,728,1230,580,1115,1361,1411,876
ENSG00000171735,CAMTA1,380,370,675,550,190,502,608,303,701,479,533,477,204,321,591,509,454
ENSG00000049245,VAMP3,1281,1211,2728,2066,775,2013,1642,980,2422,1744,1942,2126,664,1501,2713,2130,2491
ENSG00000049246,PER3,104,65,143,57,22,50,221,110,208,38,28,59,39,79,165,121,123
ENSG00000049249,TNFRSF9,4,8,23,7,9,12,7,15,52,2,8,20,0,11,23,20,34
ENSG00000116288,PARK7,3579,3457,5462,4213,1480,3699,2714,1580,3026,3902,3622,3753,1904,3567,4667,4544,3194
ENSG00000116285,ERRFI1,1611,1916,2685,2919,1101,2718,4052,2908,6010,1405,1645,2159,754,1767,2681,2966,2520
ENSG00000162426,SLC45A1,73,85,153,96,43,127,90,70,121,36,16,39,31,56,102,102,78
ENSG00000142599,RERE,1213,1247,2026,1973,707,1927,1755,1117,1933,1434,555,1279,564,1209,1556,1743,1188
ENSG00000074800,ENO1,28708,33291,43066,38845,16279,30653,29805,19724,39756,38949,33965,37191,15351,38395,36490,53015,28547
ENSG00000180758,GPR157,174,219,385,259,115,279,333,203,349,180,120,205,84,212,334,307,233
ENSG00000234546,LNCTAM34A,33,28,55,110,24,76,61,39,45,50,19,47,19,48,48,47,43
ENSG00000049239,H6PD,1857,1782,3436,1895,698,1994,1793,1054,2149,2093,962,2201,898,1910,2963,2820,2020
ENSG00000171621,SPSB1,548,545,949,759,262,668,1450,985,1810,2077,1186,2221,271,591,827,949,630
ENSG00000171612,SLC25A33,112,103,167,110,50,98,153,62,141,87,93,96,53,104,166,189,122
ENSG00000188807,TMEM201,167,198,333,227,79,224,347,203,378,211,122,237,119,257,302,367,208
ENSG00000171608,PIK3CD,200,248,435,533,179,512,192,125,311,158,92,166,106,210,381,309,245
ENSG00000231789,PIK3CD-AS2,48,55,143,211,58,213,52,16,47,59,34,55,24,38,93,45,38
ENSG00000171603,CLSTN1,4621,4701,7444,5156,2038,5392,6724,4486,7452,5283,2665,5053,2422,5016,6149,6777,4145
ENSG00000178585,CTNNBIP1,214,205,411,289,106,325,228,137,229,137,147,144,88,205,340,281,195
ENSG00000162441,LZIC,447,386,610,470,159,353,432,237,492,407,291,404,188,345,571,537,511
ENSG00000173614,NMNAT1,167,160,271,414,148,327,182,117,233,148,116,159,102,155,292,259,231
ENSG00000130939,UBE4B,1149,1063,1772,1087,403,1063,617,436,793,739,435,762,572,1105,1642,1592,1157
ENSG00000054523,KIF1B,1181,1132,1753,1914,694,1772,1521,978,1878,1157,412,1108,585,1281,1806,2000,1493
ENSG00000142657,PGD,30634,27618,50039,37073,11780,32725,41480,23736,47286,34492,22637,34467,15877,29807,42220,41925,30742
ENSG00000175279,CENPS,60,62,113,66,19,67,61,47,76,75,84,73,40,76,104,79,104
ENSG00000160049,DFFA,895,802,1424,1114,411,970,656,387,818,883,526,816,440,948,1323,1325,968
ENSG00000142655,PEX14,254,262,498,296,112,341,528,290,659,412,215,440,159,298,360,389,223
